Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
Điện thoại Xiaomi 12 (8 GB/256 GB) - Hàng chính hãng,Xiaomi,,Android,6.28 inch,4500 mAh,, 8 GB,256 GB,Snapdragon 8 Gen 1 8 nhân,"1 nhân 3 GHz, 3 nhân 2.5 GHz &amp; 4 nhân 1.79 GHz",Adreno 730,12900000
Điện Thoại OPPO A77s (8GB/128GB) - Hàng Chính Hãng,OPPO,,Android,6.56 inch,,,8GB,128GB,Snapdragon 680 8 nhân, 2.4 GHz,,4890000
"Điện thoại Oukitel  WP12 Pro (chống nước,chống va đập,RAM 8GB(Ram 4GB+ 4Gb),Rom 64 Gb,8 nhân)- hÀng chính hãng",Oukitel,,Android,,,,,,,,,2990000
Điện thoại Samsung Galaxy Z Flip 4 (8GB/256GB) - Hàng chính hãng,Samsung,,Android,6.7 inch, 3700 mAh,10 MP,8GB,256GB,Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz",Adreno 670,11990000
Điện thoại Samsung Galaxy Z Flip 4 (8GB/128GB) - Hàng chính hãng,Samsung,,Android,6.7 inch, 3700 mAh, 10 MP, 8 GB,128GB, Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz", Adreno 670,11490000
Điện Thoại TCL 40SE (6GB/256GB) - Hàng Chính Hãng,TCL,,Android,6.75 inch,5010 mAh,,6GB,256GB,MediaTek Helio G37,MediaTek Helio G37,MG GE8320,3317000
Điện Thoại Oppo A54 (4GB/128GB) - Hàng Chính Hãng,OPPO,,Android,6.5 inch,5000 mAh,16 MP,4GB,128GB,MediaTek Helio P35 8 nhân,4 nhân 2.35 GHz &amp; 4 nhân 1.8 GHz,IMG PowerVR GE8320,3912000
Điện thoại Tecno POVA 5 16GB(8+8)/128GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HZ - Hàng Chính Hãng,Tecno,,Android,6.8 inch,6000mAH,,8GB,128GB,HELIO G99,,,3890000
"Điện thoại Oukitel K15 Plus(chống sốc,chống va đập,pin 10.000mAh,Ram 4Gb,Rom 32Gb) - hàng chính hãng",Oukitel,,Android,,,,4Gb,,,,,4790000
"Điện thoại oukitel  k15 pro (chống sốc,pin khủng,pin 10.000mAh ,Ram 8Gb,Rom 128Gb) – hàng chính hãng",Oukitel,,Android,6.52 inch,,,8Gb,128Gb,,MT6771 Octa Core,,4990000
Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/512GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,33000000
Điện Thoại Xiaomi Redmi Note 12S 8GB/256GB - Hàng Chính Hãng,Xiaomi,,Android,6.43 inch,,,,,MediaTek Helio G96,,,4919000
