Product Name,Manufacturer,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Phone Chip,Processor Speed (GHz),Price (VND)
Điện Thoại Xiaomi Redmi Note 12S 8GB/256GB - Hàng Chính Hãng,Xiaomi,Android,6.43,5000,108,8,256,MediaTek Helio G96,,4919000
Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,Xiaomi,Android,6.43,5000,108,8,256,MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz,4890000
Điện thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,Xiaomi,Android,6.43,5000,108,8,256,MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz &amp; 6 nhân 2.0 GHz,6990000
Điện thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng chính hãng,Xiaomi,Android,6.43,5000,108,8,256,MediaTek Helio G96,,5089000
Điện Thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,Xiaomi,Android,6.67,5000,108,8,256,,,6132000
Điện Thoại Xiaomi Redmi Note 12 Pro 5G 8GB/256GB - Hàng Chính Hãng,Xiaomi,Android,6.67,5000,108,8,256,MediaTek Dimensity 1080 8 nhân,,9000000
Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng ,Xiaomi,Android,6.67,5000,108,8,256,MediaTek Dimensity 1080 8 nhân, 2.6 GHz,8250000
Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,108,8,256,MediaTek Dimensity 1080 8 nhân,2.6 GHz,8499000
Điện thoại Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,108,8,256,Snapdragon 732G 8 nhân,2 nhân 2.2 GHz &amp; 6 nhân 1.8 GHz,6750000
Điện Thoại Xiaomi Redmi Note 12 8GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.67,3700,50,8,128,Snapdragon 685 8 nhân,2.8 GHz,4438000
Điện thoại Xiaomi Redmi Note 12 4GB/128GB | AMOLED FHD+ 6.7 120HZ | Snapdragon 685 | 5000mAh + 33W | Hàng Chính Hãng,Xiaomi,Android,6.67,3700,50,4,128,Snapdragon 685,,3890000
Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.67,3700,50,4,128,Snapdragon 685 8 nhân,,2659000
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,8,128,Snapdragon 685 8 nhân,2.8 GHz,4445000
Điện Thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng Chính Hãng,Xiaomi,Android,6.67,5000,50,8,128,Adreno 610,2.8 GHz,5491000
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,8,128,Snapdragon 685 8 nhân,2.8 GHz,4490000
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,8,128,,,4629000
"Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) Màn AMOLED 120HZ, Snapdragon 685 , Sạc 33W - Hàng chính hãng",Xiaomi,Android,6.67,5000,50,4,128,Snapdragon 685 8 nhân,,3659000
Điện Thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng Chính Hãng,Xiaomi,Android,6.67,5000,50,4,128,Snapdragon 685 8 nhân,2.80 GHz,4490000
Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,4,128,Snapdragon 685 8 nhân,2.8 GHz,3650000
Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,4,128,Snapdragon 685 8 nhân,2.8 GHz,3879000
Điện thoại Xiaomi Redmi Note 12 (4G/128G) - Hàng chính hãng Full Box,Xiaomi,Android,6.67,5000,50,4,128,Snapdragon 685 8 nhân,2.8 GHz,4491000
Điện thoại Xiaomi Redmi Note 11 Pro 8GB/128GB Xám - Hàng Chính Hãng,Xiaomi,Android,6.67,5000,50,8,128,Snapdragon 695 5G 8 nhân, 2 nhân 2.2 GHz &amp; 6 nhân 1.8 GHz,7032000
Điện Thoại Xiaomi Redmi Note 11 Pro 8GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.67,5000,50,8,128,MediaTek Helio G96 8 nhân, 2 nhân 2.05 GHz & 6 nhân 2.0 GHz,7032000
Điện Thoại Xiaomi Redmi Note 11 Pro 5G 8GB/128GB - Hàng Chính Hãng,Xiaomi,Android,6.67,5000,50,8,128,Snapdragon 695 5G 8 nhân,2 nhân 2.2 GHz & 6 nhân 1.8 GHz,6769000
Điện thoại Xiaomi Redmi Note 11 Pro (8GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,8,128,MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz & 6 nhân 2.0 GHz,7032000
Điện thoại Xiaomi Redmi Note 11 Pro  (8GB/128GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,8,128, MediaTek Helio G96 8 nhân,2 nhân 2.05 GHz & 6 nhân 2.0 GHz,7032000
Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,Xiaomi,Android,6.43,5000,50,4,64,Qualcomm Snapdragon 480 5G,,2499000
Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,Xiaomi,Android,6.43,5000,50,4,64,Snapdragon 480 5G,,2399000
